Date,Time,Latitude,Longitude,Altitude (m),Altitude (ft)
2022-04-16,05:25:47,25.24725000045448,55.38173699995411,48.10017205774784,157.80896849394142
2022-04-16,05:25:57,25.247602003100845,55.38140499695789,49.49978368636221,162.4008703095646
2022-04-16,05:26:07,25.248445996441276,55.38136699603308,50.59977945126593,166.00978041489128
2022-04-16,05:26:17,25.250018203892292,55.38150686311851,45.42298033961863,149.0255308174344
2022-04-16,05:26:27,25.252401582681767,55.38054130613648,-44.46260960698873,-145.8747081029926
2022-04-16,05:26:37,25.255690396684592,55.378362517951174,-230.25689988954295,-755.4360474336069
2022-04-16,05:26:47,25.25982275061902,55.375117321003685,-495.999138413068,-1627.2938132711276
2022-04-16,05:26:57,25.264736749203266,55.37095253773501,-825.7285730825878,-2709.083331712273
2022-04-16,05:27:07,25.270370497155596,55.36601499058625,-1203.484451803126,-3948.439928853763
2022-04-16,05:27:17,25.27666209919422,55.36045150199841,-1613.3060224797075,-5292.998930792316
2022-04-16,05:27:27,25.283549660037387,55.35440889441255,-2039.232533017355,-6690.395663624649
2022-04-16,05:27:37,25.290971284403337,55.348033990269734,-2465.303231321093,-8088.265453447482
2022-04-16,05:27:47,25.2988650770103,55.341473612011,-2875.557365295946,-9434.24362635754
2022-04-16,05:27:57,25.307169142576516,55.33487458207739,-3254.034182846937,-10675.965508451529
2022-04-16,05:28:07,25.315821585820213,55.32838372290995,-3584.7729318790907,-11761.06642582618
2022-04-16,05:28:17,25.324760511459637,55.322147856949734,-3851.81286029743,-12637.1817045782
2022-04-16,05:28:27,25.333924024213022,55.31631380663781,-4039.193216006981,-13251.946670804322
2022-04-16,05:28:37,25.34325022879861,55.31102839441518,-4130.953246912764,-13552.996650601252
2022-04-16,05:28:47,25.352677229934635,55.306438442722936,-4111.132200919806,-13487.966970065716
2022-04-16,05:28:57,25.362143132339337,55.30269077400211,-3963.769325933132,-13004.492955294434
2022-04-16,05:29:07,25.37158604073094,55.299932210693754,-3672.9038698577615,-12050.20993238412
2022-04-16,05:29:17,25.380944059827687,55.29830957523892,-3222.5750805987213,-10572.753227431494
2022-04-16,05:29:27,25.390155294347817,55.29796969007863,-2596.8222060610356,-8519.758166533276
2022-04-16,05:29:37,25.399157849009573,55.29905937765396,-1779.6844941497277,-5838.860075786184
2022-04-16,05:29:47,25.40788982853118,55.301725460405954,-755.2011927698219,-2477.6942812869383
2022-04-16,05:29:57,25.416613000425144,55.3060910027461,425.5999793028459,1396.3254360959488
2022-04-16,05:30:07,25.423187002547273,55.30831499718984,804.5003262637183,2639.436850419058
2022-04-16,05:30:17,25.434823338196686,55.313700447166624,851.8882679970337,2794.909105175388
2022-04-16,05:30:27,25.44905142732182,55.32111066024453,954.198088623864,3130.571257080719
2022-04-16,05:30:37,25.462153997129334,55.327816001136256,1038.200040362775,3406.1682204238077
2022-04-16,05:30:47,25.474447001206713,55.33304999758944,1223.1998058939353,4013.122851169058
2022-04-16,05:30:57,25.48630500092704,55.33844799942798,1340.39953161031,4397.63639928837
2022-04-16,05:31:07,25.498077001087523,55.34399399533348,1441.000136143528,4727.690886665131
2022-04-16,05:31:17,25.50993000261791,55.34946400548432,1526.500070232898,5008.202490422901
2022-04-16,05:31:27,25.52209700258117,55.35501499459268,1586.9002339057622,5206.365763407382
2022-04-16,05:31:37,25.534560997433353,55.36066800369153,1665.19996671658,5463.254658802423
2022-04-16,05:31:47,25.54735400256901,55.366600004152026,1746.500268003903,5729.987939277926
2022-04-16,05:31:57,25.560462999889772,55.3727040043677,1799.5000814879313,5903.871847348864
2022-04-16,05:32:07,25.57383700144757,55.3791239970716,1851.2999593056736,6073.818958488427
2022-04-16,05:32:17,25.586933000070836,55.387118995458856,1900.7999337734657,6236.220454721337
2022-04-16,05:32:27,25.599394001146297,55.39702199909023,1951.900714956224,6403.873941656977
2022-04-16,05:32:37,25.611938003546673,55.40731799688744,2029.8002606704829,6659.4498872181475
2022-04-16,05:32:47,25.62477099933283,55.41753800425931,2128.099879554473,6981.955208837497
2022-04-16,05:32:57,25.637654997828115,55.42767300538466,2248.3998603075743,7376.640197691502
2022-04-16,05:33:07,25.65062499954532,55.43783600486486,2354.799872878939,7725.7216149361375
2022-04-16,05:33:17,25.66372099560604,55.44804399692097,2454.1001008599997,8051.509774905521
2022-04-16,05:33:27,25.676303998781194,55.459208997181065,2550.7995763849462,8368.765282186789
2022-04-16,05:33:37,25.6880109967358,55.47171000226533,2661.100350322202,8730.644473351093
2022-04-16,05:33:47,25.699679997106347,55.484363999344424,2740.100073748268,8989.829925956266
2022-04-16,05:33:57,25.71165099649496,55.497028003327486,2819.599914436228,9250.656183278954
2022-04-16,05:34:07,25.723809999878913,55.509735000069774,2883.499798649922,9460.301479402608
2022-04-16,05:34:17,25.73612600132091,55.522559998761,2964.599967407994,9726.378157070843
2022-04-16,05:34:27,25.74850999936723,55.53547699539806,3061.0001813052227,10042.651834833425
2022-04-16,05:34:37,25.760923000117785,55.548449999266566,3154.6993720903993,10350.063887929062
2022-04-16,05:34:47,25.773389999606216,55.56151999753862,3234.999687202274,10613.51637376071
2022-04-16,05:34:57,25.785882996125913,55.57466100635733,3320.1998771559443,10893.04456496831
2022-04-16,05:35:07,25.798421999913543,55.58787199650695,3412.200018465518,11194.882308582411
